"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称＿カナ,住所,方書,緯度,経度,設置位置,電話番号,内線,法人番号,団体名,利用可能日,開始時間,終了時間
082333,1,茨城県,行方市,行方市役所 麻生庁舎,ナメガタシヤクショアソウチョウシャ,茨城県行方市麻生1561-9,,35.990594,140.480182,1階ロビー（玄関入り左側壁）,0299-72-0811,,,行方市,,,
082333,2,茨城県,行方市,行方市役所 北浦庁舎,ナメガタシヤクショキタウラチョウシャ,茨城県行方市山田2564-10,,36.084317,140.530964,1階ロビー（玄関入り右側壁）,0291-35-2111,,,行方市,,,
082333,3,茨城県,行方市,行方市役所 玉造庁舎,ナメガタシヤクショタマツクリチョウシャ,茨城県行方市玉造甲404,,36.102005,140.416350,1階ロビー（玄関入り左側壁）,0299-55-0111,,,行方市,,,
082333,4,茨城県,行方市,麻生幼稚園,アソウヨウチエン,茨城県行方市麻生1147-1,,35.989422,140.483610,玄関窓側,0299-72-0530,,,行方市,,,
082333,5,茨城県,行方市,北浦幼稚園,キタウラヨウチエン,茨城県行方市繁昌212,,36.071417,140.521964,玄関壁側,0291-35-2038,,,行方市,,,
082333,6,茨城県,行方市,玉造幼稚園,タマツクリヨウチエン,茨城県行方市玉造甲4175,,36.098295,140.425770,保健室3の前,0299-55-0281,,,行方市,,,
082333,7,茨城県,行方市,麻生小学校,アソウショウガッコウ,茨城県行方市麻生1147-1,,35.989422,140.483610,職員室・体育館,0299-72-0049,,,行方市,,,
082333,8,茨城県,行方市,麻生東小学校,アソウヒガシショウガッコウ,茨城県行方市蔵川549,,36.031331,140.521273,体育館玄関・職員玄関,0299-80-7701,,,行方市,,,
082333,9,茨城県,行方市,北浦小学校,キタウラショウガッコウ,茨城県行方市内宿358-2,,36.082273,140.505463,正面玄関壁・北側校舎昇降口壁,0291-37-6636,,,行方市,,,
082333,10,茨城県,行方市,玉造小学校,タマツクリショウガッコウ,茨城県行方市玉造甲3200,,36.098295,140.425770,職員室・２階スタディホール・体育館アリーナ,0299-56-4040,,,行方市,,,
082333,11,茨城県,行方市,麻生中学校,アソウチュウガッコウ,茨城県行方市南327-3,,36.018704,140.465585,1階保健室入口前・2階図書室入口前,0299-80-8070,,,行方市,,,
