都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
082333,1,茨城県,行方市,特別養護老人ホーム　朝霞荘,トクベツヨウゴロウジンホームアサカソウ,介護老人福祉施設等,茨城県行方市麻生1088-1,,35.990342,140.482978,0299-72-1610,,0299-72-2672,,社会福祉法人　親和会,0873700116,,,,,
082333,2,茨城県,行方市,特別養護老人ホーム　あそうの郷,トクベツヨウゴロウジンホームアソウノサト,介護老人福祉施設等,茨城県行方市青沼981-2,,36.026139,140.513206,0299-73-0311,,0299-73-0322,,社会福祉法人　愛和会,0873700553,,,,,
082333,3,茨城県,行方市,特別養護老人ホーム　きたうら,トクベツヨウゴロウジンホームキタウラ,介護老人福祉施設等,茨城県行方市山田3339-6,,36.081417,140.517508,0291-35-3080,,0291-35-3185,,社会福祉法人　清栄会,0873700298,,,,,
082333,4,茨城県,行方市,特別養護老人ホーム　玉寿荘,トクベツヨウゴロウジンホームギョクジュソウ,介護老人福祉施設等,茨城県行方市手賀1854-1,,36.084872,140.433650,0299-55-3636,,0299-55-3511,,社会福祉法人　常山会,0895300010,,,,,
082333,5,茨城県,行方市,老人保健施設　リヒトハウス北浦,ロウジンホケンシセツリヒトハウスキタウラ,介護老人保健施設　等,茨城県行方市繁昌1712-1,,36.056868,140.519137,0291-35-0471,,0291-35-0470,,医療法人　社団　光会,0853780021,,,,,
082333,6,茨城県,行方市,老人保健施設　かすみがうら,ロウジンホケンシセツカスミガウラ,介護老人保健施設等,茨城県行方市若海793-5,,36.123071,140.433763,0299-55-0122,,0299-55-1147,,医療法人　青藍会,0853780039,,,,,
082333,7,茨城県,行方市,行方市地域包括支援センター,ナメガタシチイキホウカツシエンセンター,居宅介護支援,茨城県行方市玉造甲478-1,,36.102803,140.414694,0299-55-0114,,0299-55-3243,,行方市,0805300019,,,,,
082333,8,茨城県,行方市,水郷医師会訪問看護ステーション,スイゴウイシカイホウモンカンゴステーション,居宅介護支援　等,茨城県行方市麻生1570-1,,35.990906,140.489784,0299-72-3524,,0299-72-3526,,一般社団法人茨城県水郷医師会,0863790010,,,,,
082333,9,茨城県,行方市,白十字訪問看護ステーション,ハクジュウジカホウモンカンゴステーション,居宅介護支援　等,茨城県行方市麻生3290-12,,36.019482,140.498425,0299-80-6601,,0299-80-6601,,社会福祉法人　白十字会,0873700264,,,,,
082333,11,茨城県,行方市,地域生活サポートセンター希来,チイキセイカツサポートセンターキキ,地域密着型通所介護　等,茨城県行方市麻生3288-50,,36.017909,140.498573,0299-95-8035,,0299-95-8036,,合同会社　希来ケアサポート,0895300028,,,,,
082333,12,茨城県,行方市,デイサービス　すみれ,デイサービススミレ,地域密着型通所介護,茨城県行方市麻生615-8,,35.997767,140.471832,0299-94-2405,,0299-94-2406,,社会福祉法人　菫福祉会,0895300036,,,,,
082333,13,茨城県,行方市,居宅介護支援事業所ひなたぼっこ,キョタクｶｲｺﾞｼｴﾝｼﾞｷﾞｮｳｼｮ　ヒナタボッコ,居宅介護支援,茨城県行方市岡468-7,,36.027217,140.534184,0299-73-0777,,0299-73-0881,,有限会社　ひなた,0875300279,,,,,
082333,14,茨城県,行方市,デイサービス　ぽっかぽか,デイサービス　ポッカポカ,居宅通所介護　等,茨城県行方市繁昌642-1,,36.062733,140.521792,0291-32-8151,,0291-33-1056,,有限会社　ホームヘルプたいよう,0875300113,,,,,
082333,15,茨城県,行方市,ハートワン玉造,ハートワンタマツクリ,特定施設,茨城県行方市玉造甲476-1,,36.103076,140.415167,0299-35-6650,,0299-35-6651,,株式会社　いっしん,0875300311,,,,,
082333,17,茨城県,行方市,通所事業所さくら,ツウショジギョウショサクラ,地域密着型通所介護,茨城県行方市南95-7,,36.017023,140.468119,0299-94-8551,,0299-94-8552,,有限会社　ケアーさくら,0875300170,,,,,
082333,18,茨城県,行方市,行方市社会福祉協議会,ナメガタシシャカイフクシキョウギカイ,居宅介護支援　等,茨城県行方市玉造甲478-1,,36.102803,140.414694,0299-36-2020,,0299-55-4545,,社会福祉法人行方市社会福祉協議会,0875300048,,,,,
082333,19,茨城県,行方市,グループホーム　さくら荘,グループホームサクラソウ,地域密着型ｻｰﾋﾞｽ,茨城県行方市南95-5,,36.017035,140.468109,0299-77-0011,,0299-77-0661,,有限会社　ケアーさくら,0873700520,,,,,
082333,20,茨城県,行方市,グループホーム　いっしん館麻生,グループホームイッシンカンアソウ,地域密着型ｻｰﾋﾞｽ,茨城県行方市石神1685-1,,36.009490,140.509166,0299-80-7560,,0299-80-7561,,株式会社　いっしん,0873700504,,,,,
082333,21,茨城県,行方市,グループホーム　ほたるの里,グループホームホタルノサト,地域密着型ｻｰﾋﾞｽ等,茨城県行方市山田104-21,,36.087789,140.534757,0291-34-6662,,0291-34-6776,,株式会社　心花,0873700413,,,,,
082333,22,茨城県,行方市,グループホーム　ひまわり,グループホームヒマワリ,地域密着型ｻｰﾋﾞｽ等,茨城県行方市玉造甲422,,36.103757,140.414123,0299-35-6012,,0299-55-6013,,有限会社　松本薬局,0873700454,,,,,
082333,23,茨城県,行方市,グループホーム　玉造の里,グループホームタマツクリサト,地域密着型ｻｰﾋﾞｽ,茨城県行方市芹沢1652-10,,36.134818,140.433614,0299-55-2831,,0299-55-3781,,社会福祉法人　聖隷会,0873700512,,,,,
082333,24,茨城県,行方市,かすみウェルフェアｻｰﾋﾞｽ,カスミウェルフェアサービス,福祉用具貸与,茨城県行方市矢幡1881-12,,36.000813,140.529608,0299-73-0300,,0299-73-0133,,マツザキマテリアル株式会社,0873700462,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
