"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度
82333,1,茨城県,行方市,西蓮寺　仁王門,サイレンジ　ニオウモン,,,国指定重要文化財,建造物,西蓮寺 ,茨城県行方市西蓮寺504,,36.071728,140.439173
82333,2,茨城県,行方市,西蓮寺　相輪?（附棟札1枚）,サイレンジ　ソウリントウ,,,国指定重要文化財,建造物,西蓮寺  ,茨城県行方市西蓮寺504,,36.071728,140.439173
82333,3,茨城県,行方市,阿弥陀堂,アミダドウ,,,県指定有形文化財,建造物,万福寺　,茨城県行方市羽生745,,36.143273,140.384974
82333,4,茨城県,行方市,熊野神社本殿（附棟札8枚）,クマノジンジャホンデン,,,県指定有形文化財,建造物,熊野神社 ,茨城県行方市島並1298,,36.007262,140.471916
82333,5,茨城県,行方市,大場家住宅（主屋，表門，通用門）（附家相図等2枚）,オオバケジュウタク,,,県指定有形文化財,建造物,,茨城県行方市玉造甲4533-3,,36.108689,140.416325
82333,6,茨城県,行方市,仁王門,ニオウモン,,,県指定有形文化財,建造物,万福寺 ,茨城県行方市羽生745,,36.143273,140.384974
82333,7,茨城県,行方市,旧畑家住宅（麻生藩家老屋敷記念館）附表門１棟,キュウハタケジュウタク（アソウハンカロウヤシキキネンカン）,,,県指定有形文化財,建造物,麻生藩家老屋敷記念館,茨城県行方市麻生1153-1,,35.988293,140.486699
82333,8,茨城県,行方市,木造薬師如来坐像,モクゾウヤクシニョライザゾウ,,,県指定有形文化財,彫　刻,西蓮寺  ,茨城県行方市西蓮寺504,,36.071728,140.439173
82333,9,茨城県,行方市,阿弥陀如来立像及び両脇侍像,アミダニョライリュウゾウオヨビリョウワキジゾウ,,,県指定有形文化財,彫　刻,万福寺  ,茨城県行方市羽生745,,36.143273,140.384974
82333,10,茨城県,行方市,木造不動明王坐像,モクゾウフドウミョウオウザゾウ,,,県指定有形文化財,彫　刻,法眼寺  ,茨城県行方市芹沢505,,36.140821,140.423738
82333,11,茨城県,行方市,金銅如意輪観音坐像,コンドウニョイリンカンノンザゾウ,,,県指定有形文化財,彫　刻,観音寺 ,茨城県行方市小幡1038,,36.074217,140.483222
82333,12,茨城県,行方市,銅鐘,ドウショウ,,,県指定有形文化財,工芸品,宝幢院　,茨城県行方市玉造乙69,,36.112948,140.416908
82333,13,茨城県,行方市,鳥名木家文書,トナギケモンジョ,,,県指定有形文化財,古文書,茨城県立歴史館（寄託）,茨城県水戸市,,－,－
82333,14,茨城県,行方市,小高のカヤ,オダカノカヤ,,,県指定記念物,天然記念物,,茨城県行方市小高925,,36.032589,140.47127
82333,15,茨城県,行方市,西蓮寺大イチョウ一号，二号,サイレンジオオイチョウ,,,県指定記念物,天然記念物,西蓮寺 ,茨城県行方市西蓮寺504,,36.071728,140.439173
82333,16,茨城県,行方市,化蘇沼稲荷神社,ケソヌマイナリジンジャ,,,市指定有形文化財,建造物,化蘇沼稲荷神社,茨城県行方市内宿1572-2,,36.112655,140.50012
82333,17,茨城県,行方市,常福寺　山門,ジョウフクジ　サンモン,,,市指定有形文化財,建造物,常福寺,茨城県行方市沖洲179-1,,36.147338,140.373109
82333,18,茨城県,行方市,円勝寺　山門,エンショウジ　サンモン,,,市指定有形文化財,建造物,円勝寺,茨城県行方市八木蒔1008,,36.133491,140.395607
82333,19,茨城県,行方市,橘郷造神社本殿,タチバナゴウゾウジンジャホンデン,,,市指定有形文化財,建造物,橘郷造神社,茨城県行方市羽生1390,,36.150137,140.393323
82333,20,茨城県,行方市,八幡神社本殿,ハチマンジンジャホンデン,,,市指定有形文化財,建造物,八幡神社 ,茨城県行方市八木蒔1077-1,,36.133677,140.396061
82333,21,茨城県,行方市,井上神社本殿,イノウエジンジャホンデン,,,市指定有形文化財,建造物,井上神社,茨城県行方市井上1725,,36.066329,140.442265
