都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度,経度,口径・容量,備考
082333,1,茨城県,行方市,防火水そう,,,36.548963,139.930763,40,
082333,2,茨城県,行方市,防火水そう,,,36.546369,139.936014,40,
082333,3,茨城県,行方市,防火水そう,,,36.549888,139.935789,40,
082333,4,茨城県,行方市,防火水そう,,,36.557717,139.934946,27,
082333,5,茨城県,行方市,防火水そう,,,36.562705,139.926680,30,
082333,6,茨城県,行方市,防火水そう,,,36.560685,139.946251,27,
082333,7,茨城県,行方市,防火水そう,,,36.564209,139.944196,30,
082333,8,茨城県,行方市,防火水そう,,,36.571970,139.926777,30,
082333,9,茨城県,行方市,防火水そう,,,36.565132,139.922606,27,
082333,10,茨城県,行方市,防火水そう,,,36.563807,139.923143,27,
082333,11,茨城県,行方市,防火水そう,,,36.555799,139.944914,30,
082333,12,茨城県,行方市,防火水そう,,,36.555298,139.916560,40,
082333,13,茨城県,行方市,防火水そう,,,36.552376,139.914749,40,
082333,14,茨城県,行方市,防火水そう,,,36.548949,139.909241,30,
082333,15,茨城県,行方市,防火水そう,,,36.544839,139.899728,27,
082333,16,茨城県,行方市,防火水そう,,,36.551521,139.899503,30,
082333,17,茨城県,行方市,防火水そう,,,36.555340,139.895588,40,
082333,18,茨城県,行方市,防火水そう,,,36.554174,139.906883,30,
082333,19,茨城県,行方市,防火水そう,,,36.558523,139.911220,30,
082333,20,茨城県,行方市,防火水そう,,,36.561810,139.909057,40,
082333,21,茨城県,行方市,防火水そう,,,36.561791,139.912614,27,
082333,22,茨城県,行方市,防火水そう,,,36.562524,139.916731,27,
082333,23,茨城県,行方市,防火水そう,,,36.567643,139.907863,27,
082333,24,茨城県,行方市,防火水そう,,,36.575262,139.904302,27,
082333,25,茨城県,行方市,防火水そう,,,36.573314,139.900844,30,
082333,26,茨城県,行方市,防火水そう,,,36.577080,139.900700,30,
082333,27,茨城県,行方市,防火水そう,,,36.577689,139.904085,40,
082333,28,茨城県,行方市,防火水そう,,,36.576948,139.906249,40,
082333,29,茨城県,行方市,防火水そう,,,36.503155,139.989635,27,
082333,30,茨城県,行方市,防火水そう,,,36.502024,139.987281,30,
082333,31,茨城県,行方市,防火水そう,,,36.504900,139.982068,40,
082333,32,茨城県,行方市,防火水そう,,,36.508627,139.984131,40,
082333,33,茨城県,行方市,防火水そう,,,36.511340,139.985108,40,
082333,34,茨城県,行方市,防火水そう,,,36.503229,139.974516,40,
082333,35,茨城県,行方市,防火水そう,,,36.506298,139.973272,40,
082333,36,茨城県,行方市,防火水そう,,,36.511266,139.976597,40,
082333,37,茨城県,行方市,防火水そう,,,36.512045,139.969122,40,
082333,38,茨城県,行方市,防火水そう,,,36.518578,139.979178,32.6,
082333,39,茨城県,行方市,防火水そう,,,36.516810,139.973487,40,
082333,40,茨城県,行方市,防火水そう,,,36.504585,139.964677,40,
082333,41,茨城県,行方市,防火水そう,,,36.508781,139.963344,40,
082333,42,茨城県,行方市,防火水そう,,,36.506849,139.961018,40,
082333,43,茨城県,行方市,防火水そう,,,36.508195,139.957926,30,
082333,44,茨城県,行方市,防火水そう,,,36.514091,139.956943,30,
082333,45,茨城県,行方市,防火水そう,,,36.516488,139.955202,40,
082333,46,茨城県,行方市,防火水そう,,,36.518473,139.969672,27,
082333,47,茨城県,行方市,防火水そう,,,36.524352,139.973073,40,
082333,48,茨城県,行方市,防火水そう,,,36.526507,139.973245,27,
082333,49,茨城県,行方市,防火水そう,,,36.522502,139.955519,40,
082333,50,茨城県,行方市,防火水そう,,,36.526043,139.956017,27,
082333,51,茨城県,行方市,防火水そう,,,36.526787,139.957786,40,
082333,52,茨城県,行方市,防火水そう,,,36.528540,139.961094,30,
082333,53,茨城県,行方市,防火水そう,,,36.519436,139.953553,40,
082333,54,茨城県,行方市,防火水そう,,,36.507835,139.965677,40,
082333,55,茨城県,行方市,防火水そう,,,36.501451,139.977899,40,
082333,56,茨城県,行方市,防火水そう,,,36.528090,139.955064,24.4,
082333,57,茨城県,行方市,防火水そう,,,36.531566,139.956480,30.5,
082333,58,茨城県,行方市,防火水そう,,,36.533716,139.956242,22.5,
082333,59,茨城県,行方市,防火水そう,,,36.534419,139.957133,22.5,
082333,60,茨城県,行方市,防火水そう,,,36.535757,139.961855,32,
082333,61,茨城県,行方市,防火水そう,,,36.531552,139.964478,32.3,
082333,62,茨城県,行方市,防火水そう,,,36.528966,139.969653,40,
082333,63,茨城県,行方市,防火水そう,,,36.524793,139.981728,27,
082333,64,茨城県,行方市,防火水そう,,,36.534568,139.966420,40,
082333,65,茨城県,行方市,防火水そう,,,36.529826,139.983980,31.8,
082333,66,茨城県,行方市,防火水そう,,,36.543799,139.952163,40,
082333,67,茨城県,行方市,防火水そう,,,36.538360,139.955433,29,
082333,68,茨城県,行方市,防火水そう,,,36.536297,139.955981,27,
082333,69,茨城県,行方市,防火水そう,,,36.534101,139.947009,40,
082333,70,茨城県,行方市,防火水そう,,,36.535290,139.942763,27,
082333,71,茨城県,行方市,防火水そう,,,36.531382,139.981482,40,
082333,72,茨城県,行方市,防火水そう,,,36.535531,139.977968,30,
082333,73,茨城県,行方市,防火水そう,,,36.538288,139.983676,40,
082333,74,茨城県,行方市,防火水そう,,,36.540907,139.983310,40,
082333,75,茨城県,行方市,防火水そう,,,36.542688,139.985475,30,
082333,76,茨城県,行方市,防火水そう,,,36.544473,139.988134,40,
082333,77,茨城県,行方市,防火水そう,,,36.547146,139.985926,29.6,
082333,78,茨城県,行方市,防火水そう,,,36.549363,139.986331,40,
082333,79,茨城県,行方市,防火水そう,,,36.543938,139.977439,40,
082333,80,茨城県,行方市,防火水そう,,,36.549799,139.975121,22.5,
082333,81,茨城県,行方市,防火水そう,,,36.560433,139.976713,30,
082333,82,茨城県,行方市,防火水そう,,,36.561224,139.973609,27,
