"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,緯度,経度,電話番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目
082333,1,茨城県,行方市,土浦協同病院なめがた地域医療センター,ツチウラキョウドウビョウインナメガタチイキイリョウセンター,病院,茨城県行方市井上藤井98-8,36.069314,140.459371,0299-56-0600,月火水木金土,9:00,11:30,受付時間は平日7:30～11:30、第1・第3土曜日7:30～11:00。第2・第4・第5土曜日、祝日は休診。,内科;小児科;外科;脳神経外科;整形外科;皮膚科;泌尿器科;眼科;麻酔科;救急科;産婦人科;耳鼻咽喉科
082333,2,茨城県,行方市,つばさクリニック,ツバサクリニック,有床診療所,茨城県行方市島並1511,36.024537,140.491202,0299-72-2830,月火水木金土,9:00,18:00,土曜日午後、祝日は休診。,産科;婦人科;内科;小児科
082333,3,茨城県,行方市,朝倉診療所,アサクラシンリョウジョ,無床診療所,茨城県行方市麻生1110,35.989645,140.484962,0299-72-0036,月火水木金土,9:30,17:30,木曜日午後、土曜日午後、祝日は休診。,内科;小児科;皮膚科
082333,4,茨城県,行方市,釼持外科,ケンモチゲカ,無床診療所,茨城県行方市麻生1555-4,35.988829,140.489003,0299-72-0805,月火水金土,8:30,19:30,土曜日午後、祝日は休診。,内科;外科;小児科;皮膚科
082333,5,茨城県,行方市,小沼診療所,オヌマシンリョウジョ,無床診療所,茨城県行方市麻生1105-2,35.990208,140.486142,0299-72-0388,月火水木金土,8:45,17:30,木曜日午後、祝日は休診。,内科;外科;泌尿器科;放射線科
082333,6,茨城県,行方市,麻生クリニック,アソウクリニック,無床診療所,茨城県行方市井貝353-24,36.036419,140.481123,0299-80-8005,月火水木金土,9:00,20:00,土曜日午後、祝日は休診。,内科;胃腸科;外科;小児科;皮膚科
082333,7,茨城県,行方市,金塚医院,カナツカイイン,無床診療所,茨城県行方市手賀3125,36.089339,140.425386,0299-55-0556,月火水金土,8:30,17:00,土曜日午後、祝日は休診。,内科;小児科
082333,8,茨城県,行方市,塙医院,ハナワイイン,無床診療所,茨城県行方市玉造甲5985,36.116231,140.436836,0299-55-4100,月火木金土,8:30,17:30,土曜日午後、祝日は休診。,内科;外科;泌尿器科;リハビリテーション科
082333,9,茨城県,行方市,医療法人社団鵠生会曽内科クリニック,イリョウホウジンシャダンコクセイカイソウナイカクリニック,無床診療所,茨城県行方市玉造甲510-3,36.101472,140.417548,0299-36-2611,月火木金土,9:00,17:30,土曜日午後、祝日は休診。,内科;アレルギー科;呼吸器科;循環器科;泌尿器科;内分泌科
082333,10,茨城県,行方市,根本皮膚科医院,ネモトヒフカイイン,無床診療所,茨城県行方市玉造甲414,36.104525,140.414447,0299-55-0538,月火水金土,9:00,18:00,祝日は休診。,内科;小児科;皮膚科
082333,11,茨城県,行方市,大場内科玉造クリニック,オオバナイカタマツクリクリニック,無床診療所,茨城県行方市若海793-6,36.123024,140.432908,0299-57-3100,月火水木金土,9:00,17:00,土曜日午後、祝日は休診。,内科
082333,12,茨城県,行方市,医療法人東湖会北浦診療所,イリョウホウジントウコカイキタウラシンリョウジョ,無床診療所,茨城県行方市山田1146-7,36.086657,140.533104,0291-35-2500,月火水木金土,9:00,17:30,木曜日午後、土曜日午後、祝日は休診祝日は休診。,内科;小児科;皮膚科;外科;整形外科;泌尿器科
,,,,,,,,,,,,,,,
