"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,API対応有無,ライセンス,登録日,最終更新日,備考
082333,1,茨城県,行方市,AED設置箇所一覧,AEDの設置箇所をまとめたもの。,xlsx,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,2,茨城県,行方市,AED設置箇所一覧,AEDの設置箇所をまとめたもの。,csv,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,3,茨城県,行方市,介護サービス事業所一覧,介護サービス事業所をまとめたもの。,xlsx,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,4,茨城県,行方市,介護サービス事業所一覧,介護サービス事業所をまとめたもの。,csv,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,5,茨城県,行方市,医療機関一覧,医療機関をまとめたもの。,xlsx,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,6,茨城県,行方市,医療機関一覧,医療機関をまとめたもの。,csv,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,7,茨城県,行方市,文化財一覧,文化財をまとめたもの。,xlsx,教育・文化・スポーツ・生活,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,8,茨城県,行方市,文化財一覧,文化財をまとめたもの。,csv,教育・文化・スポーツ・生活,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,9,茨城県,行方市,観光施設一覧,観光施設をまとめたもの。,xlsx,商業・サービス業,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,10,茨城県,行方市,観光施設一覧,観光施設をまとめたもの。,csv,商業・サービス業,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,11,茨城県,行方市,公衆無線LANアクセスポイント一覧,公衆無線LANアクセスポイントをまとめたもの。,xlsx,情報通信・科学技術,随時,,無,CC BYに準拠。,2020/6/25,2021/2/26,
082333,12,茨城県,行方市,公衆無線LANアクセスポイント一覧,公衆無線LANアクセスポイントをまとめたもの。,csv,情報通信・科学技術,随時,,無,CC BYに準拠。,2020/6/25,2021/2/26,
082333,13,茨城県,行方市,公衆トイレ一覧,公衆トイレをまとめたもの。,xlsx,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,14,茨城県,行方市,公衆トイレ一覧,公衆トイレをまとめたもの。,csv,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,15,茨城県,行方市,消防水利施設一覧,消防水利施設をまとめたもの。,xlsx,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,16,茨城県,行方市,消防水利施設一覧,消防水利施設をまとめたもの。,csv,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,17,茨城県,行方市,指定緊急避難場所一覧,指定緊急避難場所をまとめたもの。,xlsx,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,18,茨城県,行方市,指定緊急避難場所一覧,指定緊急避難場所をまとめたもの。,csv,司法・安全・環境,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,19,茨城県,行方市,地域・年齢別人口,地域・年齢別人口をまとめたもの。,xlsx,人口・世帯,随時,,無,CC BYに準拠。,2020/6/25,2021/3/2,
082333,20,茨城県,行方市,地域・年齢別人口,地域・年齢別人口をまとめたもの。,csv,人口・世帯,随時,,無,CC BYに準拠。,2020/6/25,2021/3/2,
082333,21,茨城県,行方市,公共施設一覧,公共施設をまとめたもの。,xlsx,行財政,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,22,茨城県,行方市,公共施設一覧,公共施設をまとめたもの。,csv,行財政,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,23,茨城県,行方市,子育て施設一覧,子育て施設をまとめたもの。,xlsx,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,24,茨城県,行方市,子育て施設一覧,子育て施設をまとめたもの。,csv,社会保障・衛生,随時,,無,CC BYに準拠。,2020/6/25,2020/6/25,
082333,25,茨城県,行方市,オープンデータ一覧,公開しているオープンデータをまとめたもの。,xlsx,情報通信・科学技術,随時,,無,CC BYに準拠。,2020/6/25,2021/3/2,
082333,26,茨城県,行方市,オープンデータ一覧,公開しているオープンデータをまとめたもの。,csv,情報通信・科学技術,随時,,無,CC BYに準拠。,2020/6/25,2021/3/2,
082333,27,茨城県,行方市,お店一覧,市内のお店（飲食店・パン屋・菓子店・漬物店etc）をまとめたもの。,xlsx,商業・サービス業,随時,,無,CC BYに準拠。,2020/7/3,2020/7/3,
082333,28,茨城県,行方市,お店一覧,市内のお店（飲食店・パン屋・菓子店・漬物店etc）をまとめたもの。,csv,商業・サービス業,随時,,無,CC BYに準拠。,2020/7/3,2020/7/3,
