所管課,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
総務課,82333,1,茨城県,行方市,行方市消防団麻生支団第一分団天王崎消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンテンノウザキショウボウダンキコツメショ,天王崎消防団機庫詰所,,茨城県行方市麻生350-8,,35.987091,140.475654,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,2,茨城県,行方市,行方市消防団麻生支団第一分団宿消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンシュクショウボウダンキコツメショ,宿消防団機庫詰所,,茨城県行方市麻生261-2,,35.987821,140.47998,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,3,茨城県,行方市,行方市消防団麻生支団第一分団田町消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンタマチショウボウダンキコツメショ,田町消防団機庫詰所,,茨城県行方市麻生1897-5,,35.99193,140.485538,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,4,茨城県,行方市,行方市消防団麻生支団第一分団下渕消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンシタブチショウボウダンキコツメショ,下渕消防団機庫詰所,,茨城県行方市麻生1138-3,,35.987056,140.487614,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,5,茨城県,行方市,行方市消防団麻生支団第一分団新原消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンシンパラショウボウダンキコツメショ,新原消防団機庫詰所,,茨城県行方市麻生3324-10,,36.011252,140.50351,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,6,茨城県,行方市,行方市消防団麻生支団第一分団蒲縄消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンカバナワショウボウダンキコツメショ,蒲縄消防団機庫詰所,,茨城県行方市麻生125-1,,35.986075,140.48609,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,7,茨城県,行方市,行方市消防団麻生支団第一分団玄通・粗毛消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダンゲンヅウ・ホボケショウボウダンキコツメショ,玄通・粗毛消防団機庫詰所,,茨城県行方市麻生1297-1,,35.986511,140.493716,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,8,茨城県,行方市,行方市消防団麻生支団第一分団富田消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイイチブンダントミタショウボウダンキコツメショ,富田消防団機庫詰所,,茨城県行方市富田1574,,35.98047,140.504504,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,9,茨城県,行方市,行方市消防団麻生支団第二分団矢幡消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンヤバタショウボウダンキコツメショ,矢幡消防団機庫詰所,,茨城県行方市矢幡514-1,,36.013455,140.533029,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,10,茨城県,行方市,行方市消防団麻生支団第二分団石神消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンイシガミショウボウダンキコツメショ,神消防団機庫詰所,,茨城県行方市石神749-4ほか,,36.013352,140.516819,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,11,茨城県,行方市,行方市消防団麻生支団第二分団根小屋消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンネゴヤショウボウダンキコツメショ,根小屋消防団機庫詰所,,茨城県行方市根小屋1138,,36.019076,140.532617,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,12,茨城県,行方市,行方市消防団麻生支団第二分団白浜消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンソラハマショウボウダンキコツメショ,白浜消防団機庫詰所,,茨城県行方市白浜101-1,,36.02503,140.554031,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
