令和5年度児童生徒数,,,,,,,,
"※１段目は　児童生徒数（特別支援学級児童生徒含む）
　２段目は　普通学級数（特別支援学級は含まない）",,,,,,令和5年5月1日 現在,,
校　名,,学　　　　年,,,,,,合計
,,1年,2年,3年,4年,5年,6年,
麻生小,児童数,45,53,42,62,50,50,302
,クラス数,2,2,2,2,2,2,12
麻生東小,児童数,28,35,36,28,41,41,209
,クラス数,1,1,2,1,1,1,7
北浦小,児童数,51,44,55,56,47,50,303
,クラス数,2,2,2,2,2,2,12
玉造小,児童数,76,73,76,87,94,76,482
,クラス数,3,3,3,3,3,2,17
合　計,,200,205,209,233,232,217,1296
,,,,,,,,
校　名,,学　　　　年,,,,,,合計
,,1年,2年,3年,-,,,
麻生中,生徒数,115,96,111,-,,,322
,クラス数,4,3,3,,,,10
北浦中,生徒数,42,55,50,,,,147
,クラス数,1,2,2,,,,5
玉造中,生徒数,74,80,81,,,,235
,クラス数,2,2,2,,,,6
合　計,,231,231,242,-,,,704
,,,,,,,,
園　名,,4歳児,5歳児,-,,,,合計
麻生幼,園児数,10,19,-,,,,29
北浦幼,園児数,6,5,,,,,11
玉造幼,園児数,10,11,,,,,21
合　計,,26,35,-,,,,61
