NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,市役所麻生庁舎,シヤクショアソウチョウシャ,茨城県行方市麻生1561-9,,35.990613,140.488991,,0299-72-0811,,82333,茨城県,行方市,,,,,,,,,,300,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
2,麻生中学校,アソウチュウガッコウ,茨城県行方市南327-3,,36.023596,140.477146,,0299-80-8070,,82333,茨城県,行方市,1,1,,1,,1,1,,1,566,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
3,麻生運動場体育館,アソウウンドウジョウタイイクカン,茨城県行方市南269-1,,36.023266,140.475142,,0299-77-0791,,82333,茨城県,行方市,1,1,,1,,1,1,,1,477,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
4,麻生小学校,アソウホウガッコウ,茨城県行方市麻生1147-1,,35.989619,140.485699,,0299-72-0049,,82333,茨城県,行方市,1,1,,1,,1,1,,1,480,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
5,麻生東小学校,アソウヒガシショウガッコウ,茨城県行方市蔵川549,,36.033963,140.528814,,0299-80-7701,,82333,茨城県,行方市,1,1,,1,,1,1,,1,684,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
6,麻生公民館,アソウコウミンカン,茨城県行方市麻生1221,,35.987794,140.487897,,0299-72-1573,,82333,茨城県,行方市,1,1,,1,,1,1,,1,249,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
7,太田地区館,オオタチクカン,茨城県行方市矢幡742,,36.013407,140.531645,,,,82333,茨城県,行方市,,,,,,,,,,36,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
8,大和地区館,ヤマトチクカン,茨城県行方市蔵川438-2,,36.034391,140.530064,,,,82333,茨城県,行方市,,,,,,,,,,31,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
9,小高地区館,オダカチクカン,茨城県行方市小高925,,36.032866,140.471277,,,,82333,茨城県,行方市,,,,,,,,,,132,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
10,麻生温泉「白帆の湯」天王崎観光交流センター,アソウオンセン「シラホノユ」テンノウザキカンコウコウリュウセンター,茨城県行方市麻生421-3,,35.987361,140.475156,,0299-80-6622,,82333,茨城県,行方市,,,,,,,,,,99,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
