"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,営業時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,,
082333,1,茨城県,行方市,食べ処　わたなべ,タベドコロ　ワタナベ,,,行方市富田29-1,,35.976321,140.50041,木曜日,"11時～14時
17時～21時",,,,お店イチオシのハンバーグやポークジンジャーは定評があります。,,麻生庁舎～355号(潮来方面）～約10分,,,,0299-72-1163,,,,,,,
082333,2,茨城県,行方市,福田屋,フクダヤ,,,行方市蔵川144-1,,36.031827,140.532057,月曜日,"11時～21時
（出前：持ち帰り19時まで）",,,,お蕎麦がメインですが、焼肉定食も絶品です。,,北浦庁舎～185号(潮来方面）～約25分,,,,0299-73-2091,,,,,,,
082333,3,茨城県,行方市,JAJAUMA,ジャジャウマ,,,行方市麻生255-1,,36.033068,140.477781,不定休,"金・土　20時～
平日・日　予約のみ",,,,アメリカンなお店。ふっくらJAJAハンバーグやナポリタンが定番。ランチ他、夜はお酒も提供します。,,麻生庁舎～（石岡方面）～約3分,,,,0299-72-0515,,,,,,,
082333,4,茨城県,行方市,Miu´s　Cafe39,ミューズカフェ39,,,行方市麻生397,,35.989139,140.478303,不定休,11時30分～18時,,,,ライダーやサイクリストに人気の喫茶店。赤ワインで長時間煮込んだ本格牛すじカレー、もちもち麺が人気のやきそば等がある。天然氷のかき氷もお試しあれ。,,麻生庁舎～（石岡方面）～約2分,,,,090-8857-6796,,,,,,,
082333,5,茨城県,行方市,焼き鳥げんき,ヤキトリゲンキ,,,行方市石神168-1,,36.010153,140.508265,水曜日,10時～19時30分,,,,おすすめは地域ナンバー1をめざす唐揚げ。焼き鳥も炭で焼き上げる本格派,,セイミヤ～県道50号(潮来方面）～石神交差点付近～約5分,,,,0299-73-3564,,,,,,,
082333,6,茨城県,行方市,肉のひらやま,ニクノヒラヤマ,,,行方市根小屋178,,36.016513,140.534256,火曜日,"
17時～22時",,,,お肉屋さんが営む焼肉屋さん。お肉はもちろんのこと、こだわりの冷麺はモチモチのシコシコで後を引くおいしさです。,,北浦大橋～186号線経由～大和第一小学校付近～約1分,,,,0299-73-3208,,,,,,,
082333,7,茨城県,行方市,華のれん,ハナノレン,,,行方市石神1713,,36.013608,140.50796,月・火曜日,"11時～14時
17時～23時",,,,行方市で宴会の予約がなかなか取れない人気の居酒屋。お昼の定食も定評があり、さくさくの大えびのフライやわらじみたいに大きいコロッケが人気。,,セイミヤモール麻生店～県道50号(潮来方面）～約5分,,,,0299-80-7200,,,,https://www.hana-noren.jp/,,,
082333,8,茨城県,行方市,食事処　和の蔵,ショクジドコロ　ナゴミノクラ,,,行方市杉平1181-15,,36.048113,140.509166,水曜日,"11時30分～13時30分
17時～22時30分",,,,味と満点のボリュームで人気のお店。豚肉の味噌漬けはお肉がやわらかくて絶品です。,,北浦庁舎～水戸鉾田佐原線2号経由～約10分,,,,0299-73-0078,,,,,,,
082333,9,茨城県,行方市,KIITCHENまいさー,キッチンマイサー,,,行方市麻生1138-1,,35.987139,140.487457,水・木曜日　第1、3、5日曜日,11時～20時,,,,行方市のイタリアン。めんたいこパスタや注文がきてから焼くピザが人気です。,,常陽銀行麻生支店前,,,,0299-77-7239,,,,,,,
082333,10,茨城県,行方市,牡丹江飯店,ボタンコウハンテン,,,行方市麻生445-5,,35.990641,140.476298,火曜日,11時～14時,,,,夫婦で切り盛りする中華屋さん。美明豚を使用の焼肉弁当やボリューム満点の天津丼、ビビンバ・チャーハン等,,道の駅～355号(潮来方面）～約20分,,,,0299-72-0252,,,,,,,
