"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
82333,1,茨城県,行方市,霞ケ浦ふれあいランド,カスミガウラフレアイランド,,,行方市玉造甲1234,,36.096741,140.403483,火・水・木・金・土・日曜日,9時30分,16時30分,,"大人300円
小人150円","大人（高校生～）
小人（4歳～中学生）
幼児（3歳以下無料）",霞ケ浦大橋たもとにそびえる虹の塔がシンボルの施設です。ボルダリングやレンタサイクルなど親子で楽しめるレジャーが充実しています。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約40分
潮来ＩＣ→国道355号経由で約50分



",有,有,,0299-55-3927,,,,https://www.city.namegata.ibaraki.jp/page/dir000922.html,
82333,2,茨城県,行方市,観光物産館こいこい,カンコウブッサンカンコイコイ,,,行方市玉造甲1963-5,,36.095464,140.402513,月・火・水・木・金・土・日曜日,9時,18時,,,,霞ケ浦大橋のたもとにある物産館です。行方市の新鮮な野菜や地元の名産品を販売の他、フードコートなど、憩いの場としてもご利用いただけます。施設内のウッドデッキからの展望は絶景です。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約40分
潮来ＩＣ→国道355号経由で約50分



",有,有,,0299-36-2781,,,,www.namegata-koikoi.com/ ,
82333,3,茨城県,行方市,麻生温泉白帆の湯,アソウオンセンシラホノユ,,,行方市麻生421-3,,35.987226,140.475101,月・火・木・金・土・日曜日,10時,21時,,"大人740円
子供310円
大人530円（17時～
子供210円(17時～",,霞ケ浦を一望できる展望風呂が自慢です。筑波山はもちろん、冬の空気が澄んだ時期には富士山も眺めることのできる日帰り温泉です。隣接の天王崎観光交流センターコテラスではカフェや新鮮地場野菜、お土産に地元の名産品もご用意されています。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約60分
潮来ＩＣ→国道355号経由で約30分",有,有,,0299-80-6622,,,,https://shirahonoyu.com/ ,
82333,4,茨城県,行方市,北浦温泉北浦荘,キタウラオンセンキタウラソウ,,,行方市山田121,,36.085406,140.537384,火・水・木・金・日曜日,10時,21時,,"大人420円
子供210円
行方市内310円","大人（中学生含む）
子供（小学生・障害者）
行方市内（65歳以上）",北浦湖畔、鹿行大橋のたもとに位置する日帰り温泉です。多様な効能を持つナトリウム炭酸水素塩泉、源泉かけ流しで地元の人に人気となっています。,,土浦北ＩＣ→国道354号経由で約60分,有,有,,0291-35-2821,,,,https://www.city.namegata.ibaraki.jp/page/page007929.html,
82333,5,茨城県,行方市,なめがたファーマーズヴィレッジ,ナメガタファーマーズヴィレッジ,,,行方市宇崎1561,,36.022891,140.546446,月・火・水・木・金・土・日曜日,10時,21時,,"大人900円
子供700円","大人(中学生以上）
子供（4歳以上）
3歳以下（無料）",廃校となった小学校の校舎をリニューアルして建てられました。食べて、育てて、学んで、自然をいっぱい感じる農と食の体験型テーマパークです。,,"土浦北ＩＣ→約70分
潮来ＩＣ→約20分",有,有,,0299-87-1130,,,,https://www.namegata-fv.jp/facilities/museum.html ,
82333,6,茨城県,行方市,大塲家郷土屋敷,オオバケキョウドヤシキ,,,行方市玉造甲4533-3,,36.108832,140.416311,火・水・木・土曜日,10時,16時,,"大人300円
(団体20名以上は150円）
子供200円
(団体20名以上は250円）","大人（一般）
子供（小・中・高校生）
",寛永年間（1624～44年）に建てられたとされるように、伝統的な茅葺き住宅。大塲家は代々水戸藩の大山守を務め、時には庄屋や御留川の川守も兼帯していました。映画「桜田門外ノ変」のロケ地としても使用されています。茨城県指定有形文化財です。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約45分
潮来ＩＣ→国道355号経由で約50分
",有,無,,0299-55-3230,,,,www.ohbakegoushiyashiki.com/ ,
82333,7,茨城県,行方市,麻生家老屋敷,アソウカロウヤシキ,,,行方市麻生1153-1,,35.988504,140.486728,木・金・土・日曜日,9時,16時,,無料,,江戸時代の麻生藩家老畑家の武家屋敷。豪壮な入母屋造の茅葺き屋根が特徴です。茨城県指定有形文化財です。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約60分
潮来ＩＣ→国道355号経由で約30分",有,無,,0299-72-1971,,,,https://www.city.namegata.ibaraki.jp/page/page001414.html ,
82333,8,茨城県,行方市,三昧塚古墳,サンマイヅカコフン,,,行方市沖洲467-1,,36.154855,140.365987,,,,,,,茨城県行方市沖洲にある前方後円墳です。沖洲古墳群を構成する古墳の一つで、行方市指定史跡。出土品は国の重要文化財に指定されています。,,潮来ＩＣ→国道355号経由で約80分,有,無,,,,,,https://www.city.namegata.ibaraki.jp/page/page001406.html ,
82333,9,茨城県,行方市,西蓮寺,サイレンジ,,,行方市西連寺504,,36.071962,140.439182,,,,,,,天台宗の寺院。俗に常陸の高野山ともいわれる。山門と相輪木棠は国の重要文化財。木造薬師如来坐像は茨城県指定有形文化財である。県指定天然記念物の樹齢1000年以上の２本の大銀杏や七日七夜、昼夜不断に読経する常行三昧絵が人気の観光スポットです。,,"土浦北ＩＣ→国道354号→
霞ケ浦大橋経由で約60分
潮来ＩＣ→国道355号経由で約45分",有,無,,0299-56-0107,,,,https://www.city.namegata.ibaraki.jp/page/page001412.html,
82333,10,茨城県,行方市,春日神社,カスガジンジャ,,,行方市青沼492-1,,36.033283,140.516322,,,,,,,平安初期、奈良の春日大社から分社している創建されたと伝わる。毎年11月23日に五穀豊穣を願う「どぶろく祭り」が人気であり、酒類免許を取得している全国的にも珍しい神社です。,,潮来ＩＣ→約30分,無,無,,,,,,https://www.city.namegata.ibaraki.jp/map.php?code=226 ,
