"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考,
082333,1,茨城県,行方市,行方市役所麻生庁舎,ナメガタシヤクショアソウチョウシャ,,茨城県行方市麻生1561-9,,35.990562,140.488960,行方市,0299-72-0811,,IBARAKI FREE Wi-Fi,1階ロビー,https://www.city.namegata.ibaraki.jp/,,
082333,2,茨城県,行方市,行方市役所北浦庁舎,ナメガタシヤクショキタウラチョウシャ,,茨城県行方市山田2564-10,,36.084579,140.532586,行方市,0291-35-2111,,IBARAKI FREE Wi-Fi,1階ロビー，第１会議室,https://www.city.namegata.ibaraki.jp/,,
082333,3,茨城県,行方市,行方市役所玉造庁舎,ナメガタシヤクショタマツクリチョウシャ,,茨城県行方市玉造甲404,,36.104834,140.414984,行方市,0299-55-0111,,IBARAKI FREE Wi-Fi,1階ロビー，第１会議室,https://www.city.namegata.ibaraki.jp/,,
082333,4,茨城県,行方市,行方市麻生公民館,ナメガタシアソウコウミンカン,,茨城県行方市麻生1221,,35.987773,140.487964,行方市,0299-72-1573,,IBARAKI FREE Wi-Fi,1階ロビー,https://www.city.namegata.ibaraki.jp/kouminkan/ko-aso/index.html,,
082333,5,茨城県,行方市,行方市北浦公民館,ナメガタシキタウラコウミンカン,,茨城県行方市山田2175,,36.083757,140.533364,行方市,0291-35-3777,,IBARAKI FREE Wi-Fi,１階ロビー,https://www.city.namegata.ibaraki.jp/kouminkan/ko-aso/index.html,,
082333,6,茨城県,行方市,行方市玉造公民館,ナメガタシタマツクリコウミンカン,,茨城県行方市玉造乙1179,,36.108403,140.414566,行方市,0291-35-3777,,IBARAKI FREE Wi-Fi,１階ロビー,https://www.city.namegata.ibaraki.jp/kouminkan/ko-tamatsukkuri/index.html,,
082333,7,茨城県,行方市,行方市麻生運動場,ナメガタシアソウウンドウジョウ,,茨城県行方市南269-1,,36.023229,140.475323,行方市,0299-77-0791,,IBARAKI FREE Wi-Fi,１階ロビー,https://www.city.namegata.ibaraki.jp/sports/sports-asoundou/page008580.html,,
082333,8,茨城県,行方市,行方市北浦運動場,ナメガタシキタウラウンドウジョウ,,茨城県行方市山田2175,,36.082494,140.532475,行方市,0291-35-2120,,IBARAKI FREE Wi-Fi,1階ロビー,https://www.city.namegata.ibaraki.jp/sports/sports-kitauraundou/page008582.html,,
082333,9,茨城県,行方市,行方市玉造B＆G海洋センター・行方市玉造運動場,ナメガタシタマツクリB&Gカイヨウセンター・ナメガタシタマツクリウンドウジョウ,,茨城県行方市玉造甲3190,,36.100305,140.434567,行方市,0299-55-3211,,IBARAKI FREE Wi-Fi,１階ロビー,https://www.city.namegata.ibaraki.jp/sports/sports-bgcenter/page008581.html,,
082333,10,茨城県,行方市,行方市立図書館,ナメガタシリツトショカン,,茨城県行方市玉造乙1175,,36.108174,140.414282,行方市,0299-55-1495,,IBARAKI FREE Wi-Fi,１階ロビー,https://www.city.namegata.ibaraki.jp/sports/sports-bgcenter/page008581.html,,
082333,11,茨城県,行方市,行方市天王崎観光交流センター,ナメガタシテンノウザキカンコウコウリュウセンター,,茨城県行方市麻生419-1,,35.987058,140.475191,行方市,0299-80-6622,,IBARAKI FREE Wi-Fi,1階ロビー,https://shirahonoyu.com/,,
082333,12,茨城県,行方市,行方市情報交流センター,ナメガタシジョウホウコウリュウセンター,,茨城県行方市麻生1570-1,,35.990518,140.489539,行方市,0299-72-0811,,IBARAKI FREE Wi-Fi,ホール,https://www.city.namegata.ibaraki.jp/,,
082333,13,茨城県,行方市,行方市地域包括支援センター,ナメガタシチイキホウカツシエンセンター,,茨城県行方市玉造甲478-1,,36.102819,140.414704,行方市,0299-55-0114,,IBARAKI FREE Wi-Fi,玄関ホール,https://www.city.namegata.ibaraki.jp/,,
082333,14,茨城県,行方市,行方市保健センター,ナメガタシホケンセンター,,茨城県行方市山田3282-10,,36.083325,140.510769,行方市,0291-34-6200,,IBARAKI FREE Wi-Fi,玄関ホール,https://www.city.namegata.ibaraki.jp/,,
082333,15,茨城県,行方市,茨城県鹿行生涯学習センター・女性プラザ,イバラキケンロッコウショウガイガクシュウセンター・ジョセイプラザ,,茨城県行方市宇崎1389,,36.021706,140.547861,茨城県,0299-73-3877,,IBARAKI FREE Wi-Fi,"女性プラザ2階ラウンジ，女性プラザ1階ラウンジ，
鹿行生涯学習センター2階エントランスホール",http://www.lakeecho.gakusyu.ibk.ed.jp/,,
082333,16,茨城県,行方市,セントラルゴルフクラブ,セントラルゴルフクラブ,,茨城県行方市麻生2196,,36.004723,140.47776,事業者,0299-72-1467,,IBARAKI FREE Wi-Fi,フロント、レストラン,https://www.pref.ibaraki.jp/freewifi/documents/spot.pdf,,
082333,17,茨城県,行方市,旧みずまるレストラン,キュウミズマルレストラン,,茨城県行方市1451-1,,36.096845,140.404354,事業者,,,IBARAKI FREE Wi-Fi,,,,
,,,,,,,,,,,,,,,,,,
